time,GFDL-CM3,CSIRO-MK3-6-0,CCSM4,NORESM1-M,IPSL-CM5A-LR,CANESM2,GFDL-ESM2G,GISS-E2-R,MPI-ESM-LR,CNRM-CM5
2000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0
2001.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0
2002.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0
2003.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0
2004.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0
2005.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0
2006.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0
2007.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0
2008.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0
2009.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0
2010.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0
2011.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0
2012.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0
