time,BCC-CSM2-MR,FGOALS-F3-L,NORESM2-MM,CANESM5,GFDL-ESM4,MPI-ESM1-2-HR,ACCESS-CM2,MRI-ESM2-0,IPSL-CM6A-LR,CESM2,CAMS-CSM1-0,CESM2-WACCM,EC-EARTH3,EC-EARTH3-VEG,INM-CM4-8,INM-CM5-0,ACCESS-ESM1-5
2000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0
2001.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0
2002.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0
2003.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0
2004.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0
2005.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0
2006.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0
2007.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0
2008.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0
2009.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0
