time,EC-EARTH3,INM-CM4-8,INM-CM5-0,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,CMCC-CM2-SR5,MPI-ESM1-2-HR,TAIESM1,BCC-CSM2-MR,FGOALS-F3-L,IPSL-CM6A-LR,ACCESS-CM2,CESM2,CANESM5,ACCESS-ESM1-5,GFDL-ESM4,NORESM2-MM,EC-EARTH3-VEG
2000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0
2001.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0
2002.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0
2003.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0
2004.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0
2005.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0
2006.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0
2007.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0
2008.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0
2009.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0
