time,IPSL-CM6A-LR,CESM2-WACCM,CANESM5,MRI-ESM2-0
2000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0
2001.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0
2002.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0
2003.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0
2004.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0
2005.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0
2006.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0
2007.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0
2008.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0
2009.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0
2010.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0
2011.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0
2012.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0
2013.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0
2014.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0
2015.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0
2016.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0
2017.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0
2018.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0
2019.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0
2020.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0
2021.0,47085154000.0,48618630000.0,47303115000.0,44777075000.0
2022.0,46887723000.0,48323060000.0,46266120000.0,44438233000.0
2023.0,46410764000.0,47297004000.0,45641230000.0,42566720000.0
2024.0,45462995000.0,48075526000.0,44400144000.0,41355235000.0
2025.0,43952136000.0,46499762000.0,43134330000.0,39706636000.0
2026.0,43770190000.0,45515026000.0,42332054000.0,38653116000.0
2027.0,43325430000.0,44482300000.0,41265970000.0,37436064000.0
2028.0,43186050000.0,43060396000.0,39723730000.0,36162840000.0
2029.0,41716417000.0,41235833000.0,39278010000.0,34566940000.0
2030.0,40476766000.0,40246764000.0,38102524000.0,32217166000.0
2031.0,40558220000.0,38667450000.0,37468877000.0,31336874000.0
