time,IPSL-CM6A-LR,MPI-ESM1-2-HR,MRI-ESM2-0,UKESM1-0-LL,GFDL-ESM4
2000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0
2001.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0
2002.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0
2003.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0
2004.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0
2005.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0
2006.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0
2007.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0
2008.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0
2009.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0
2010.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0
2011.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0
2012.0,44923960000000.0,44923960000000.0,44923960000000.0,44923960000000.0,44923960000000.0
2013.0,44930806000000.0,44930806000000.0,44930806000000.0,44930806000000.0,44930806000000.0
2014.0,44832274000000.0,44832274000000.0,44832274000000.0,44832274000000.0,44832274000000.0
2015.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0
2016.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0
2017.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0
2018.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0
2019.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0
2020.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0
2021.0,44604390000000.0,44607333000000.0,44601530000000.0,44587905000000.0,44694516000000.0
2022.0,44411707000000.0,44559183000000.0,44517705000000.0,44438445000000.0,44716914000000.0
2023.0,44325803000000.0,44504145000000.0,44388512000000.0,44232630000000.0,44642600000000.0
